set,idx,cer,animescore,likability,utmos
base,0,0.18181818181818182,0.7691164612770081,2.7808969020843506,1.2986396551132202
base,1,0.4090909090909091,0.773057222366333,3.604830503463745,1.2964648008346558
base,2,0.07692307692307693,2.8515634536743164,4.240653991699219,2.422384738922119
base,3,0.23076923076923078,0.6032727956771851,3.9330992698669434,1.357133388519287
base,4,0.0,-1.5650486946105957,4.552219867706299,3.851969003677368
base,5,0.041666666666666664,-0.40853312611579895,4.5283098220825195,4.234060287475586
base,6,0.0,-1.405787706375122,4.221758842468262,4.006988048553467
base,7,0.0,-1.2833530902862549,4.512690544128418,3.9836585521698
base,8,0.04,-1.5306631326675415,4.411601543426514,4.023139476776123
base,9,0.13043478260869565,-0.4504643678665161,4.521886348724365,2.937731981277466
base,10,0.08,-1.3582587242126465,4.359374523162842,3.937836170196533
base,11,0.0,-1.442385196685791,4.405681610107422,3.323188066482544
base,12,0.3870967741935484,0.5755881667137146,3.468151807785034,1.3148149251937866
base,13,0.28,3.906186819076538,4.084949493408203,2.369060754776001
base,14,0.24,4.195198059082031,4.486875057220459,1.6960358619689941
base,15,0.22727272727272727,-0.0793948620557785,3.6018388271331787,1.4788191318511963
base,16,1.4583333333333333,1.5401291847229004,3.6352968215942383,3.0172183513641357
base,17,0.2857142857142857,-0.4402076303958893,3.3278489112854004,1.3710931539535522
base,18,0.13793103448275862,0.27705538272857666,3.886188268661499,1.3658320903778076
base,19,0.043478260869565216,-0.8371295928955078,4.518795013427734,3.792886734008789
base,20,0.19047619047619047,0.6381317973136902,4.194451332092285,2.125898838043213
base,21,0.047619047619047616,-0.7398355007171631,4.548891067504883,3.721541166305542
base,22,0.0,-1.6077988147735596,4.519317626953125,3.370063066482544
base,23,0.043478260869565216,-2.164013147354126,4.477062702178955,3.9404897689819336
base,24,0.03571428571428571,-1.1395773887634277,4.5283613204956055,3.261406898498535
base,25,0.0,-0.3231394588947296,4.236549377441406,2.7661540508270264
base,26,0.037037037037037035,-1.0772613286972046,4.566486835479736,4.199794292449951
base,27,0.037037037037037035,-1.8672672510147095,4.4703569412231445,4.137760639190674
base,28,0.09090909090909091,-1.0918101072311401,4.538246154785156,3.5926055908203125
base,29,0.0,-0.5212873816490173,4.461923599243164,3.9249491691589355
base,30,0.18181818181818182,1.7261762619018555,3.7277045249938965,1.8453681468963623
base,31,0.10714285714285714,3.176711320877075,3.7477521896362305,1.4623186588287354
base,32,0.0,-2.517009735107422,4.388066291809082,4.152425765991211
base,33,0.13333333333333333,-1.4003937244415283,4.527573108673096,3.779323101043701
base,34,0.03333333333333333,-0.8520887494087219,4.443338394165039,3.1919124126434326
base,35,0.15384615384615385,-0.27316033840179443,4.100520610809326,2.907249689102173
base,36,0.45161290322580644,-0.09234132617712021,3.0586960315704346,1.8263506889343262
base,37,0.5172413793103449,0.8670535683631897,3.3257927894592285,1.8243664503097534
base,38,0.0625,-0.8842954039573669,4.505842685699463,3.535757303237915
base,39,0.0,-0.3355746269226074,4.4492926597595215,2.987790107727051
base,40,0.03571428571428571,-1.4114433526992798,4.571005821228027,4.22713565826416
base,41,0.20833333333333334,-1.6743919849395752,4.234485149383545,3.846266746520996
base,42,0.10714285714285714,-2.0352420806884766,4.416995048522949,3.5951833724975586
base,43,0.0,-2.02165150642395,4.32100248336792,4.003240585327148
base,44,0.02857142857142857,-2.3013999462127686,4.395389556884766,4.17475700378418
base,45,0.0,-1.169885516166687,4.551673412322998,4.0482988357543945
base,46,0.4642857142857143,-0.2796357572078705,4.425280570983887,3.010895013809204
base,47,0.0,-1.8765472173690796,4.577642917633057,3.9749608039855957
base,48,0.0,-1.591615080833435,4.434818267822266,3.5371313095092773
base,49,0.05263157894736842,0.5672420263290405,4.400478363037109,3.854580879211426
AS-GRPO,0,0.18181818181818182,0.7465196847915649,3.3398005962371826,1.2884013652801514
AS-GRPO,1,0.3181818181818182,1.9255567789077759,3.5765302181243896,1.3187761306762695
AS-GRPO,2,0.19230769230769232,2.924532175064087,4.071639060974121,1.678800106048584
AS-GRPO,3,0.19230769230769232,1.9294025897979736,3.846524238586426,1.5187733173370361
AS-GRPO,4,0.0,2.673888921737671,4.466748237609863,3.675966262817383
AS-GRPO,5,0.041666666666666664,1.1414828300476074,4.510015964508057,3.9538605213165283
AS-GRPO,6,0.0,-1.0963554382324219,4.358254432678223,4.1009650230407715
AS-GRPO,7,0.0,0.4914703071117401,4.520157337188721,3.707587718963623
AS-GRPO,8,0.04,0.8118228912353516,4.45649528503418,3.7784600257873535
AS-GRPO,9,0.08695652173913043,0.6764367818832397,4.414939880371094,2.980820655822754
AS-GRPO,10,0.0,-0.7206395268440247,4.453699111938477,3.8905608654022217
AS-GRPO,11,0.0,-0.1558149755001068,4.452722549438477,3.8050122261047363
AS-GRPO,12,0.3548387096774194,-1.053783655166626,3.824200391769409,1.370482087135315
AS-GRPO,13,0.4,1.6964751482009888,4.34357213973999,3.449612617492676
AS-GRPO,14,0.28,3.91414475440979,4.3959150314331055,3.08115816116333
AS-GRPO,15,0.2727272727272727,-0.3851792812347412,3.6052889823913574,1.330865740776062
AS-GRPO,16,0.375,-0.3081781268119812,4.40407133102417,3.4365389347076416
AS-GRPO,17,0.23809523809523808,0.6076951026916504,3.39058518409729,1.406400442123413
AS-GRPO,18,0.27586206896551724,1.238316297531128,3.4203152656555176,1.3330665826797485
AS-GRPO,19,0.0,2.625218152999878,4.368861675262451,3.551578998565674
AS-GRPO,20,0.14285714285714285,2.023381471633911,4.40825891494751,3.393308401107788
AS-GRPO,21,0.14285714285714285,2.6247644424438477,4.487457275390625,3.1943564414978027
AS-GRPO,22,0.0,-0.16881653666496277,4.524641036987305,3.2848706245422363
AS-GRPO,23,0.0,0.057690419256687164,4.279718399047852,3.188096046447754
AS-GRPO,24,0.03571428571428571,2.492555618286133,4.322683334350586,3.1866648197174072
AS-GRPO,25,0.04,0.02829798124730587,4.337664604187012,3.015474557876587
AS-GRPO,26,0.0,0.24360528588294983,4.4859232902526855,3.6756370067596436
AS-GRPO,27,0.0,2.1324145793914795,4.296209335327148,3.0324506759643555
AS-GRPO,28,0.0,-0.8599258065223694,4.418875217437744,3.647582769393921
AS-GRPO,29,0.0,-1.2468029260635376,4.502703666687012,3.4246957302093506
AS-GRPO,30,0.09090909090909091,2.463385581970215,4.479839324951172,2.4533395767211914
AS-GRPO,31,0.14285714285714285,3.6111092567443848,4.102231025695801,2.596874237060547
AS-GRPO,32,0.10714285714285714,0.012338237836956978,4.291495323181152,3.72933292388916
AS-GRPO,33,0.03333333333333333,0.4934619963169098,4.584324836730957,3.9031429290771484
AS-GRPO,34,0.03333333333333333,0.13805422186851501,4.480143070220947,3.4908735752105713
AS-GRPO,35,0.11538461538461539,2.8593976497650146,4.415410995483398,3.7090368270874023
AS-GRPO,36,0.3870967741935484,2.812283754348755,4.433678150177002,2.8237433433532715
AS-GRPO,37,0.27586206896551724,3.430330276489258,4.380864143371582,2.6155455112457275
AS-GRPO,38,0.09375,2.6523706912994385,4.513622760772705,3.261934995651245
AS-GRPO,39,0.0,-0.027535170316696167,4.378719806671143,3.5096006393432617
AS-GRPO,40,0.0,-0.4333779513835907,4.5470380783081055,3.8475182056427
AS-GRPO,41,0.20833333333333334,-0.7827443480491638,4.334283828735352,3.8664705753326416
AS-GRPO,42,0.03571428571428571,0.47879254817962646,4.490936756134033,4.14532995223999
AS-GRPO,43,0.0,-0.18665564060211182,4.315320014953613,3.7037100791931152
AS-GRPO,44,0.08571428571428572,-1.200169324874878,4.336331844329834,2.8675739765167236
AS-GRPO,45,0.06060606060606061,0.7731319069862366,4.3571858406066895,2.7262954711914062
AS-GRPO,46,0.35714285714285715,0.12425915896892548,4.185686111450195,3.497429847717285
AS-GRPO,47,0.0,0.4688156545162201,4.559028625488281,3.252324104309082
AS-GRPO,48,0.05263157894736842,0.07912594825029373,4.4783501625061035,2.998431921005249
AS-GRPO,49,0.08771929824561403,3.2739248275756836,4.048134803771973,1.336275339126587
UTMOS-GRPO,0,0.09090909090909091,-0.16193556785583496,3.9302096366882324,1.6465749740600586
UTMOS-GRPO,1,0.18181818181818182,2.581665277481079,4.330562591552734,3.1420087814331055
UTMOS-GRPO,2,0.19230769230769232,2.304551601409912,3.0102391242980957,1.7429383993148804
UTMOS-GRPO,3,0.19230769230769232,3.110440969467163,4.19935941696167,2.011216163635254
UTMOS-GRPO,4,0.0,-0.9647044539451599,4.5609002113342285,4.073742866516113
UTMOS-GRPO,5,0.041666666666666664,-1.1853938102722168,4.469535827636719,4.258780479431152
UTMOS-GRPO,6,0.041666666666666664,-1.731329321861267,4.352312088012695,4.109482765197754
UTMOS-GRPO,7,0.04,-1.242592692375183,4.519472122192383,4.29137659072876
UTMOS-GRPO,8,0.04,-1.0679435729980469,4.531834602355957,3.9484975337982178
UTMOS-GRPO,9,0.043478260869565216,-1.4636648893356323,4.4603071212768555,4.019780158996582
UTMOS-GRPO,10,0.08,-2.010901927947998,4.447762489318848,3.169128656387329
UTMOS-GRPO,11,0.12,-1.7779185771942139,4.427761077880859,3.976897716522217
UTMOS-GRPO,12,0.2903225806451613,-0.6451892852783203,4.432374954223633,3.774472236633301
UTMOS-GRPO,13,0.36,0.23031476140022278,4.0486321449279785,3.7035892009735107
UTMOS-GRPO,14,0.28,2.945261001586914,4.349140167236328,3.764563798904419
UTMOS-GRPO,15,0.22727272727272727,0.8450466990470886,3.9813485145568848,3.110300064086914
UTMOS-GRPO,16,0.25,-0.31328725814819336,4.232517242431641,3.7525296211242676
UTMOS-GRPO,17,0.23809523809523808,2.3295602798461914,4.120258331298828,2.4065136909484863
UTMOS-GRPO,18,0.06896551724137931,2.1777358055114746,4.436793327331543,3.821317195892334
UTMOS-GRPO,19,0.0,-0.49026691913604736,4.503093719482422,3.5324745178222656
UTMOS-GRPO,20,0.23809523809523808,1.3040567636489868,4.4456000328063965,4.327877044677734
UTMOS-GRPO,21,0.14285714285714285,-1.5351994037628174,4.533308029174805,4.147127151489258
UTMOS-GRPO,22,0.0,-1.8280675411224365,4.565223693847656,3.769967794418335
UTMOS-GRPO,23,0.043478260869565216,-1.273767352104187,4.358883380889893,3.6684813499450684
UTMOS-GRPO,24,0.0,-1.172165036201477,4.460504531860352,4.003068923950195
UTMOS-GRPO,25,0.0,-0.5064905285835266,4.314119815826416,3.2034497261047363
UTMOS-GRPO,26,0.037037037037037035,-1.6371562480926514,4.507265090942383,4.347275257110596
UTMOS-GRPO,27,0.037037037037037035,-1.174600601196289,4.482802867889404,3.7274131774902344
UTMOS-GRPO,28,0.045454545454545456,-0.5619357228279114,4.480141639709473,4.194435119628906
UTMOS-GRPO,29,0.0,-1.6880282163619995,4.340867042541504,4.148199081420898
UTMOS-GRPO,30,0.18181818181818182,-0.3157055675983429,4.325002670288086,1.5072110891342163
UTMOS-GRPO,31,0.14285714285714285,3.2257463932037354,4.1077728271484375,2.8914647102355957
UTMOS-GRPO,32,0.0,-2.4334027767181396,4.501791000366211,3.7069830894470215
UTMOS-GRPO,33,0.16666666666666666,-1.8422282934188843,4.563950538635254,3.2500383853912354
UTMOS-GRPO,34,0.03333333333333333,-1.7520142793655396,4.515852451324463,3.63804292678833
UTMOS-GRPO,35,0.19230769230769232,-0.5818561911582947,4.48293399810791,4.1041646003723145
UTMOS-GRPO,36,0.45161290322580644,0.17098519206047058,3.999634027481079,2.0389328002929688
UTMOS-GRPO,37,0.27586206896551724,-0.18579810857772827,3.766402244567871,1.8695422410964966
