path,axis,side,item_idx,size_bytes,sha256
data/audio_samples/en_animescore/base/040.wav,en_animescore,base,40,151084,0965e1477642ac0fa935a56db14797a345cb86ca615dc67b18d30a322e7c3eb6
data/audio_samples/en_animescore/base/041.wav,en_animescore,base,41,172204,9833472c66a2c92583b1919a92cea744b367fd8873621ae2a940f5ae9bbb8950
data/audio_samples/en_animescore/base/042.wav,en_animescore,base,42,134444,91e3210944b2a3835a0cdf2f7c0aded5a244658b9da65b9d08d2fd1f1178b405
data/audio_samples/en_animescore/base/043.wav,en_animescore,base,43,190764,7fe77cdb47988a89deb5356944f43c53f26176bd49ac9253051dd033cb342a08
data/audio_samples/en_animescore/base/044.wav,en_animescore,base,44,208044,777d1a38a20a3dcb7ad9486b0a5885c737f57f73579af072cc6b55d0ec5520d7
data/audio_samples/en_animescore/base/045.wav,en_animescore,base,45,224044,6855812b6ea6af7490636898820ebe0fed66fd5e6a479cdcf4e5511b6a364f91
data/audio_samples/en_animescore/base/046.wav,en_animescore,base,46,230444,4284fdd394acd1fab1b7cc9cacf93ebedd103535add45e8f79b95bd80dd7e538
data/audio_samples/en_animescore/base/047.wav,en_animescore,base,47,442284,e7bfe1390656b634a6e0ea72eae0d69bb4263683a12095a165766a4b59e59c72
data/audio_samples/en_animescore/base/048.wav,en_animescore,base,48,394924,0d8dd73a56abdcd287b7077d08e6a895c22fc84d1952dcadf7fc91cd5df363bc
data/audio_samples/en_animescore/base/049.wav,en_animescore,base,49,439084,3495db83b7d0bb9bf8638a6ab55fd04f51f91e04e20eaccdde2d0d816edd9612
data/audio_samples/en_animescore/grpo/000.wav,en_animescore,grpo,0,135724,f835df19dba648c0526159d4f6fcd13971e667c2d75327cb5d2686eae9c7783e
data/audio_samples/en_animescore/grpo/001.wav,en_animescore,grpo,1,180524,5d64ca98dfa5798bcf4495da9cd064a5450051e160e80a8c87a20535298de81f
data/audio_samples/en_animescore/grpo/002.wav,en_animescore,grpo,2,142124,eb978e685a5b9201405ab9205b8cdd5ef1b012a6d76862c94706d4649fbf8138
data/audio_samples/en_animescore/grpo/003.wav,en_animescore,grpo,3,163884,3fcfb6c0432e69f6195ebd5d4eadc211b1d3ce338e6f09473f9352578419e6fc
data/audio_samples/en_animescore/grpo/004.wav,en_animescore,grpo,4,214444,d67cc8aeae9bbd436b1d2e975c76667af3302d5cd71dd67a499495612050e7f4
data/audio_samples/en_animescore/grpo/005.wav,en_animescore,grpo,5,169004,eb4a3b9f1a2639ba17307dd0a07a14b25d4574d835be61f007806392ba913554
data/audio_samples/en_animescore/grpo/006.wav,en_animescore,grpo,6,169004,a4cc69f42dc6a6405220e6a0c31626b69694729df38197ce5290f5db5c2f0769
data/audio_samples/en_animescore/grpo/007.wav,en_animescore,grpo,7,233644,4c13c4e16dda241c264ce1b65dab61f3408ac2c00e13379c206e825529509fd7
data/audio_samples/en_animescore/grpo/008.wav,en_animescore,grpo,8,181804,6ca263257e17661a515e8a4d5ed65e3d3e6ff036c0077bc9409d04344be1b912
data/audio_samples/en_animescore/grpo/009.wav,en_animescore,grpo,9,133804,3d67d7eaf9e777e30b43f3072f19af26d216e9c4259d3f5bac565133915bbdc5
data/audio_samples/en_animescore/grpo/010.wav,en_animescore,grpo,10,174764,cacbaf3d0c6999f5243c95f8a209569eb3a4402719a178cc10e48ee930d3f29c
data/audio_samples/en_animescore/grpo/011.wav,en_animescore,grpo,11,166444,640bee45e3e9787857e6fac8cb18204aeed983e81e959bf7612ee682824a33fc
data/audio_samples/en_animescore/grpo/012.wav,en_animescore,grpo,12,261164,dce02bdd91f409addeb8a3cd5c61153ace6d94ee611fb05ddfafc635dccf979a
data/audio_samples/en_animescore/grpo/013.wav,en_animescore,grpo,13,187564,ab42337fb7a4f40903a5eba41e1d8e0a5a4780d76d296a92665484dc3e2c9811
data/audio_samples/en_animescore/grpo/014.wav,en_animescore,grpo,14,172204,48c0f2bf94228c921efcd9849a177cbf5ce2d42b04523a78e96573f4f46f7910
data/audio_samples/en_animescore/grpo/015.wav,en_animescore,grpo,15,156844,7d8216bf9df6115da952a134ca575dd847e324ca13a7bf9305078c3d5d4385d3
data/audio_samples/en_animescore/grpo/016.wav,en_animescore,grpo,16,228524,7472320666a394c0674a734bc93658bf7ac751968d169fb08441d647e68b4c3b
data/audio_samples/en_animescore/grpo/017.wav,en_animescore,grpo,17,168364,8faf30cc7e68d4e048091327ad0e8cb0793f20988ceb508d8da2bfb92dfab66a
data/audio_samples/en_animescore/grpo/018.wav,en_animescore,grpo,18,162604,6ad59d195c081eda35b321e939db8b902073ea048452e040d7b8e0c9b7a8b1c4
data/audio_samples/en_animescore/grpo/019.wav,en_animescore,grpo,19,129324,f518923173e2093dc3b9efbf74826f9c4c4c239a7510ebe655931911b36d3597
data/audio_samples/en_animescore/grpo/020.wav,en_animescore,grpo,20,183724,35f48614f9a56b7046d80c8c408421de83473cb7a78d389188baa57bc653f9ab
data/audio_samples/en_animescore/grpo/021.wav,en_animescore,grpo,21,193964,f25ba2f5e5129c0f12f5fd414309f2e69c7e3edbff46a642f240d686c59f25ce
data/audio_samples/en_animescore/grpo/022.wav,en_animescore,grpo,22,129324,cea15c0c5285c45c3116383224426187118818b479bd77761eadb2c56087ef8f
data/audio_samples/en_animescore/grpo/023.wav,en_animescore,grpo,23,179244,f0b302ea7243155a613340f508d6f618d089902a545e08e8ceb95c44273f5a3d
data/audio_samples/en_animescore/grpo/024.wav,en_animescore,grpo,24,113964,ade7c9f8f3618b609b2ed3a10cfb5ce96d67ffadaaf8157e33d3ed4a696f80c5
data/audio_samples/en_animescore/grpo/025.wav,en_animescore,grpo,25,144044,4442851611e2458617ad1162926a3e4a3af3237dc4de12b3acbefa3768e224be
data/audio_samples/en_animescore/grpo/026.wav,en_animescore,grpo,26,126764,b02c7ca50dca24a753f6196b6c22ff2927f17c771e22d895e192fb898c388fb3
